https://www.myminifactory.com/object/10853,https://cdn.myminifactory.com/assets/object-assets/579fbcaa1969e/threedfiles/met-girl-holding-a-pet-animal-1.stl,"Girl holding a pet animal at The Metropolitan Museum of Art, New York",Hellenistic,3rd century B.C.,
https://www.myminifactory.com/object/11979,https://cdn.myminifactory.com/assets/object-assets/579fbfc6a9c0c/threedfiles/met-saint-peter-as-the-first-pope-1.stl,"Saint Peter as The First Pope at The Metropolitan Museum of Art, New York",null,before 1348,
https://www.myminifactory.com/object/12188,https://cdn.myminifactory.com/assets/object-assets/579fc041317a1/threedfiles/British-Museum-Bust-of-Julius-Caesar-BASE.stl,"Bust of Julius Caesar at The British Museum, London",Roman,50 (circa),
https://www.myminifactory.com/object/14101,https://cdn.myminifactory.com/assets/object-assets/579fc6598dbe7/threedfiles/british-museum-bust-of-a-roman-woman-1.stl,"Marble Bust of a Roman Woman at The British Museum, London",Roman,180-200 (circa),
https://www.myminifactory.com/object/14316,https://cdn.myminifactory.com/assets/object-assets/579fc70bcf96c/threedfiles/british-museum-amitabha-buddha-1.stl,"Amitabha Buddha at The British Museum, London",Sui dynasty (5th year of Kaihuang),585 (Dated by inscription),
https://www.myminifactory.com/object/14725,https://cdn.myminifactory.com/assets/object-assets/579fc7e692dd0/threedfiles/british-museum-acroterion-1.stl,"Acroterion fragment with acanthus scrolls at The British Museum, London",Classical Greek,4thC BC,
https://www.myminifactory.com/object/14726,https://cdn.myminifactory.com/assets/object-assets/579fc7e6ea648/threedfiles/british-museum-beaked-jug-1.stl,"Beaked Jug at The British Museum, London",Phylakopi I Culture,2300BC-2000BC,
https://www.myminifactory.com/object/14729,https://cdn.myminifactory.com/assets/object-assets/579fc7ea177f4/threedfiles/british-museum-bronze-bull-1.stl,"Bronze Bull 1 at The British Museum, London",Late Minoan IIIC,1200BC-1060BC,
https://www.myminifactory.com/object/14730,https://cdn.myminifactory.com/assets/object-assets/579fc7eaa7ff7/threedfiles/british-museum-bronze-bull-2-1.stl,"Bronze Bull 2 at The British Museum, London",Late Minoan IIIC,1200BC-1060BC,
https://www.myminifactory.com/object/14731,https://cdn.myminifactory.com/assets/object-assets/579fc7eb1fd67/threedfiles/british-museum-bronze-bull-3-1.stl,"Bronze Bull 3 at The British Museum, London",Late Minoan IIIC,1200BC-1060BC,
https://www.myminifactory.com/object/14734,https://cdn.myminifactory.com/assets/object-assets/579fc7ecf0675/threedfiles/british-museum-bronze-head-of-a-woman-or-goddess-1.stl,"Bronze head of a woman or goddess at The British Museum, London",Hellenistic,150BC-100BC,
https://www.myminifactory.com/object/14738,https://cdn.myminifactory.com/assets/object-assets/579fc7ee8f61f/threedfiles/british-museum-face-of-a-colossal-figure-1.stl,"Face of a Colossal Figure at The British Museum, London",Neo-Assyrian,700BC-695BC,
https://www.myminifactory.com/object/14739,https://cdn.myminifactory.com/assets/object-assets/579fc7ef03126/threedfiles/british-museum-ephesus-1.stl,"Fragment from The Ephesus temple at The British Museum, London",Classical Greek,4thC BC,
https://www.myminifactory.com/object/14740,https://cdn.myminifactory.com/assets/object-assets/579fc7ef97cfc/threedfiles/british-museum-forepart-of-a-horse-1.stl,"Forepart of a Horse at The British Museum, London",Classical Greek,350BC (circa),
https://www.myminifactory.com/object/14741,https://cdn.myminifactory.com/assets/object-assets/579fc7f05aeb0/threedfiles/british-museum-guardian-of-the-city-wall-1.stl,"Guardian of The City Wall at The British Museum, London",Neo-Assyrian,835BC,
https://www.myminifactory.com/object/14755,https://cdn.myminifactory.com/assets/object-assets/579fc7f5d245f/threedfiles/demeter-repaired-1.stl,"Marble Statue of Demeter at The British Museum, London",Hellenistic,350BC-330BC (circa),
https://www.myminifactory.com/object/14758,https://cdn.myminifactory.com/assets/object-assets/579fc7f8aa64f/threedfiles/maussolioswoman-repaired-1.stl,"Maussolos Figure (Male) at The British Museum, London",Classical Greek,350BC (circa),
https://www.myminifactory.com/object/14777,https://cdn.myminifactory.com/assets/object-assets/579fc8009c062/threedfiles/british-museum-ring-shaped-aryballos-1.stl,"Ring Shaped Aryballos at The British Museum, London",Proto-Corinthian,680BC-650BC (circa),
https://www.myminifactory.com/object/15044,https://cdn.myminifactory.com/assets/object-assets/579fc8921c4f2/threedfiles/british-museum-cronthian-helmet-1-1.stl,"Bronze Corinthian Helmet 1 at The British Museum, London",Western Greek,510BC (circa),
https://www.myminifactory.com/object/15045,https://cdn.myminifactory.com/assets/object-assets/579fc892acf6f/threedfiles/british-museum-crontihan-helmet-2-1.stl,"Bronze Corinthian Helmet 2 at The British Museum, London",Corinthian (perhaps),500BC (circa),
https://www.myminifactory.com/object/15046,https://cdn.myminifactory.com/assets/object-assets/579fc89369e1f/threedfiles/british-museum-marble-female-head-1.stl,"Marble Female Head at The British Museum, London",East Greek,550BC-520BC (circa),
https://www.myminifactory.com/object/15047,https://cdn.myminifactory.com/assets/object-assets/579fc8942ae3d/threedfiles/maskorthia-1.stl,Terracotta mask of a caricatured face at The British Museum,Archaic Greek,6thC BC,
https://www.myminifactory.com/object/15048,https://cdn.myminifactory.com/assets/object-assets/579fc8954993b/threedfiles/british-museum-figure-horseman-1.stl,"Figure of a Horseman at The British Museum, London",Attic,600BC (circa),
https://www.myminifactory.com/object/15049,https://cdn.myminifactory.com/assets/object-assets/579fc895cde3d/threedfiles/british-museum-terracotta-horse-1.stl,"Terracotta Horse at The British Museum, London",Boeotian,580BC-550BC (circa),
https://www.myminifactory.com/object/15051,https://cdn.myminifactory.com/assets/object-assets/579fc896e47de/threedfiles/british-museum-man-leaping-over-minoan-bull-1.stl,"Minoan bull leaper at The British Museum, London",Late Minoan I,1600BC-1450BC,
https://www.myminifactory.com/object/15053,https://cdn.myminifactory.com/assets/object-assets/579fc8983411d/threedfiles/british-museum-mycenaean-figure-of-bull-1.stl,"Mycenaean Figure of a Bull at The British Museum, London",Late Helladic IIIB,1300BC-1200BC,
https://www.myminifactory.com/object/15054,https://cdn.myminifactory.com/assets/object-assets/579fc898e9a28/threedfiles/british-museum-mycenaean-figure-of-bull-1.stl,"Mycenaean Figure of Bull at The British Museum, London",Late Helladic IIIB,1300BC-1200BC,
https://www.myminifactory.com/object/15055,https://cdn.myminifactory.com/assets/object-assets/579fc89a2f205/threedfiles/british-museum-oinochoe-1.stl,"Oinochoe jug at The British Museum, London",Archaic Greek,540BC (circa),
https://www.myminifactory.com/object/15445,https://cdn.myminifactory.com/assets/object-assets/579fc9c146b21/threedfiles/british-museum-winged-lion-1.stl,"Winged Lion at The British Museum, London",Neo-Assyrian,865BC-860BC,
https://www.myminifactory.com/object/15451,https://cdn.myminifactory.com/assets/object-assets/579fc9c6df7ad/threedfiles/british-museum-clay-seated-buddha-1.stl,"Clay Seated Buddha at The British Museum, London",null,3rdC,
https://www.myminifactory.com/object/15452,https://cdn.myminifactory.com/assets/object-assets/579fc9c73cd16/threedfiles/british-museum-flask-1-1.stl,"Flask 1 at The British Museum, London",Liao dynasty,916-1125,
https://www.myminifactory.com/object/15453,https://cdn.myminifactory.com/assets/object-assets/579fc9c7840b8/threedfiles/british-museum-flask-2-1.stl,"Flask 2 at The British Museum, London",Liao dynasty,916-1125,
https://www.myminifactory.com/object/15464,https://cdn.myminifactory.com/assets/object-assets/579fc9cd99682/threedfiles/british-museum-pottery-ewer-1.stl,"Pottery Ewer at The British Museum, London",Tang dynasty (?),618-1125,
https://www.myminifactory.com/object/15973,https://cdn.myminifactory.com/assets/object-assets/579fcae4b50d5/threedfiles/bronze-bell-bo-at-the-british-museum-london-1.stl,"Bronze Bell (bo) at The British Museum, London",Eastern Zhou dynasty,5thC BC (circa),
https://www.myminifactory.com/object/15980,https://cdn.myminifactory.com/assets/object-assets/579fcaea3b293/threedfiles/stw-159-three-harness-frontlets-china-british-museum-frontlet1-1.stl,"Harness Frontlet 1 at The British Museum, London",Western Zhou dynasty,1050BC-771BC (circa),
https://www.myminifactory.com/object/15981,https://cdn.myminifactory.com/assets/object-assets/579fcaeac59fa/threedfiles/stw-159-three-harness-frontlets-china-british-museum-frontlet2-1.stl,"Harness Frontlet 2 at The British Museum, London",Western Zhou dynasty,1050BC-771BC (circa),
https://www.myminifactory.com/object/15982,https://cdn.myminifactory.com/assets/object-assets/579fcaeb3b65d/threedfiles/stw-159-three-harness-frontlets-china-british-museum-frontlet3-1.stl,"Harness Frontlet 2 at The British Museum, London",Western Zhou dynasty,1050BC-771BC (circa),
https://www.myminifactory.com/object/15983,https://cdn.myminifactory.com/assets/object-assets/579fcaeb8ac18/threedfiles/stw-143-amberfigure-china-britishmuseum-repaired-1.stl,"Figure of a Foreign Soldier at The British Museum, London",Sui dynasty,265-618,
https://www.myminifactory.com/object/15987,https://cdn.myminifactory.com/assets/object-assets/579fcaedc426c/threedfiles/stw-155-bells-2-china-british-muse-bell2-1.stl,"Bell 2 at The British Museum, London",Eastern Zhou dynasty,6thC BC-4thC BC (circa),
https://www.myminifactory.com/object/15988,https://cdn.myminifactory.com/assets/object-assets/579fcaee31cea/threedfiles/15988-1.stl,"Pottery Owl Vessels at The British Museum, London",Han dynasty,206BC-220,
